price,property_id
521510730.813106,d56159653f5d2abc5ed5acd7
1079894634.35013,45550aa81c0151f1fd9fd8fe
918661672.872599,735deef3382aa15930482f3e
852190681.702536,0dd49fa8bb7be52b851c6dc9
857444821.015391,7d3220a91e78f8bc2924d1cd
531033448.805582,d3054072b2175deec2c1f8dc
545987583.22851,b7574b06d593fca4eac59815
606896687.864551,79e822115c5c1a4531366001
811025297.880648,d3ed5316a463d38c1bd321d0
818596254.913038,2f1880c9b8f7ac2715e1236d
810701797.709835,dcca1c7f109175760ff531c6
466228885.798184,dfc4f3facf91bbd93ee0fa4d
409637376.121536,30e134a6cbe61d7954d0f56b
488809670.004734,385fee7bd9ad7722d45dd034
472042507.86689,87199c236bf22903d1aafdd0
533288313.615855,19e19ad0cd6b5e84d8aa970e
604458321.637055,907f968e78d748fde69dd44f
495529511.500578,be094e5db0f784e3aa013aae
519592841.711607,7ab96f83915bc84f8c03c1bd
947981902.19286,07f4aa9b9ff5b0b05d31e6c0
819918814.942237,e9be8cd37abed8ab510ba1f5
642495491.63809,5f6ad58df27b562db077b5ce
677743658.441943,ee96d947484aaace40f9b77f
1130370885.15231,15c4aef8401208054697b81e
1093360240.35451,22d6cb11333f2839b8112b89
976605050.900189,288c09c33907dadbae495c11
587813628.55622,f71d2bca0c5fe2720a1544c4
540349723.272881,451744cf3ce55a98db8a3562
466838643.716471,fba9ae05a6a8a9e0c6268a9f
592688139.073157,1338e58f7dcebf5a1ea59388
451086106.140788,a817e8da0ada143ac87277ee
612696371.431752,46d8bb3e9a0ca584d3c7a317
510576895.159665,b2506aa9463aebf01e1e00ca
514466508.672042,7ec025b9b6e6f33bf65af41b
695933569.809625,2ff531e27672ecd2362eed55
664740817.970309,9b3cf0d1b91b9c6a2a887647
461277621.940358,7db5291ce4602d9b2b266872
492295736.8281,65d5918e826c33bb950fc008
539009467.528037,395c34e4b8f52cbdb0522459
655336460.342702,855f4b67d2bd6d18fd03d8e7
498898220.078607,9ff06409b37e5b5dece4604a
507771325.383213,0508cd7bd2c77ebb6fea1e56
514605933.784377,b45fff2e718e54772d46a3fd
515972452.208435,cf4d2297b73dbc357d21e31b
542426132.409607,0ada7044c5b29925abc90879
674891422.363641,6305f02255274ab5fb6bd39c
713033105.60959,d9a94194ae1350512beff3e6
877383323.707698,e3896296cb80d50d9ad3f903
850621608.196106,6514f355887c64136edb5595
1088151663.69965,f03400cc18e12903b3ffbe5a
648075340.36284,4e134600155a64783b3f8c3e
811212924.654561,d63ebc63c82fbf66d8b6ffd3
838222376.154132,1bd64811bd59706844230198
656295499.953105,a83921284639eedd4a511cb6
