"property_id","price"
"d56159653f5d2abc5ed5acd7",967684204.101562
"45550aa81c0151f1fd9fd8fe",928379028.320312
"735deef3382aa15930482f3e",910214599.609375
"0dd49fa8bb7be52b851c6dc9",820983947.753906
"7d3220a91e78f8bc2924d1cd",833380432.128906
"d3054072b2175deec2c1f8dc",377615234.375
"b7574b06d593fca4eac59815",368760070.800781
"79e822115c5c1a4531366001",445450866.699219
"d3ed5316a463d38c1bd321d0",1111322387.69531
"2f1880c9b8f7ac2715e1236d",1029611450.19531
"dcca1c7f109175760ff531c6",571770935.058594
"dfc4f3facf91bbd93ee0fa4d",448085388.183594
"30e134a6cbe61d7954d0f56b",315995513.916016
"385fee7bd9ad7722d45dd034",696759155.273438
"87199c236bf22903d1aafdd0",705502014.160156
"19e19ad0cd6b5e84d8aa970e",527036132.8125
"907f968e78d748fde69dd44f",674370422.363281
"be094e5db0f784e3aa013aae",594363159.179688
"7ab96f83915bc84f8c03c1bd",334396240.234375
"07f4aa9b9ff5b0b05d31e6c0",1064935668.94531
"e9be8cd37abed8ab510ba1f5",1223380126.95312
"5f6ad58df27b562db077b5ce",757220092.773438
"ee96d947484aaace40f9b77f",983445129.394531
"15c4aef8401208054697b81e",1316914428.71094
"22d6cb11333f2839b8112b89",1336379150.39062
"288c09c33907dadbae495c11",1476945556.64062
"f71d2bca0c5fe2720a1544c4",923665527.34375
"451744cf3ce55a98db8a3562",834291931.152344
"fba9ae05a6a8a9e0c6268a9f",543140258.789062
"1338e58f7dcebf5a1ea59388",830518432.617188
"a817e8da0ada143ac87277ee",529909606.933594
"46d8bb3e9a0ca584d3c7a317",791983276.367188
"b2506aa9463aebf01e1e00ca",371759307.861328
"7ec025b9b6e6f33bf65af41b",512188415.527344
"2ff531e27672ecd2362eed55",938919494.628906
"9b3cf0d1b91b9c6a2a887647",660343750
"7db5291ce4602d9b2b266872",475135406.494141
"65d5918e826c33bb950fc008",634681030.273438
"395c34e4b8f52cbdb0522459",887173339.84375
"855f4b67d2bd6d18fd03d8e7",1047060058.59375
"9ff06409b37e5b5dece4604a",606758300.78125
"0508cd7bd2c77ebb6fea1e56",693004760.742188
"b45fff2e718e54772d46a3fd",749959045.410156
"cf4d2297b73dbc357d21e31b",664154907.226562
"0ada7044c5b29925abc90879",671913635.253906
"6305f02255274ab5fb6bd39c",789085876.464844
"d9a94194ae1350512beff3e6",1092751342.77344
"e3896296cb80d50d9ad3f903",1178057128.90625
"6514f355887c64136edb5595",844194641.113281
"f03400cc18e12903b3ffbe5a",963244018.554688
"4e134600155a64783b3f8c3e",1024645019.53125
"d63ebc63c82fbf66d8b6ffd3",911794372.558594
"1bd64811bd59706844230198",1178158813.47656
"a83921284639eedd4a511cb6",812295532.226562
"a2f3f7a1cd573e2a33f52e2d",800917663.574219
"47344a66471fa51f61c64652",739770874.023438
"78fd849c9429091347d7e5c9",835786499.023438
"c3daf2abea55af99c9579319",766073974.609375
"52864916eb1984abca41ec66",878565429.6875
"c62494a9d7aede44f2f84023",1217407836.91406
"a2b576643f7a032371587e5e",1448430786.13281
"e53bc68f0e97ccead24f3e56",472848999.023438
"fd82c710aad91bc90af490fe",658940979.003906
"d436abc2ee37ba3dd561e940",791510437.011719
"216a598114a403676011cb51",1181640869.14062
"ea230d5eccd2b687888173bb",921405639.648438
"18bd0dd7580f2a7cb19a90b9",705509643.554688
"b143c8ca6d334f6a73c3f2a0",509970764.160156
"ab388cb4fa511968783bafee",340067565.917969
"6a4f08cd04d558a56af732d9",524101928.710938
"7216c895aa047c4f405c4941",564942260.742188
"a493488dcd906dc74cf8a604",1056614257.8125
"7844b0b2bc65dced90a355c6",715976135.253906
"c1976383069b6b82ab29d092",1037611938.47656
"e5cfd99e2308b7b73581dbdc",503777404.785156
"c18c2ea88f4ac53970b53d2c",672584289.550781
"842c9f0e4edf1e5a672ce15e",1061858764.64844
"7dd1e46dcbddc6bf5ef694de",823547058.105469
