property_id,price
d56159653f5d2abc5ed5acd7,858671089
45550aa81c0151f1fd9fd8fe,881160723
735deef3382aa15930482f3e,1029537401
0dd49fa8bb7be52b851c6dc9,819625261
7d3220a91e78f8bc2924d1cd,905709083
d3054072b2175deec2c1f8dc,392622633
b7574b06d593fca4eac59815,393693303
79e822115c5c1a4531366001,499139374
d3ed5316a463d38c1bd321d0,1052300715
2f1880c9b8f7ac2715e1236d,1026118601
dcca1c7f109175760ff531c6,709742575
dfc4f3facf91bbd93ee0fa4d,401983245
30e134a6cbe61d7954d0f56b,381503526
385fee7bd9ad7722d45dd034,448975932
87199c236bf22903d1aafdd0,447998870
19e19ad0cd6b5e84d8aa970e,422089284
907f968e78d748fde69dd44f,720760493
be094e5db0f784e3aa013aae,504432113
7ab96f83915bc84f8c03c1bd,394104501
07f4aa9b9ff5b0b05d31e6c0,966990251
e9be8cd37abed8ab510ba1f5,901522615
5f6ad58df27b562db077b5ce,790228297
ee96d947484aaace40f9b77f,769229187
15c4aef8401208054697b81e,1113407886
22d6cb11333f2839b8112b89,1150840222
288c09c33907dadbae495c11,1359299791
f71d2bca0c5fe2720a1544c4,503288520
451744cf3ce55a98db8a3562,613419147
fba9ae05a6a8a9e0c6268a9f,513750752
1338e58f7dcebf5a1ea59388,532464297
a817e8da0ada143ac87277ee,421247619
46d8bb3e9a0ca584d3c7a317,649342002
b2506aa9463aebf01e1e00ca,384474855
7ec025b9b6e6f33bf65af41b,334514884
2ff531e27672ecd2362eed55,684846340
9b3cf0d1b91b9c6a2a887647,658818680
7db5291ce4602d9b2b266872,416444067
65d5918e826c33bb950fc008,533944057
395c34e4b8f52cbdb0522459,531226410
855f4b67d2bd6d18fd03d8e7,856399313
9ff06409b37e5b5dece4604a,527339276
0508cd7bd2c77ebb6fea1e56,561670492
b45fff2e718e54772d46a3fd,561843975
cf4d2297b73dbc357d21e31b,571231430
0ada7044c5b29925abc90879,526779500
6305f02255274ab5fb6bd39c,783553653
d9a94194ae1350512beff3e6,791314934
e3896296cb80d50d9ad3f903,1001729156
6514f355887c64136edb5595,867561624
f03400cc18e12903b3ffbe5a,912144001
4e134600155a64783b3f8c3e,819938571
d63ebc63c82fbf66d8b6ffd3,828894421
1bd64811bd59706844230198,999791594
a83921284639eedd4a511cb6,605700797
a2f3f7a1cd573e2a33f52e2d,769915026
47344a66471fa51f61c64652,750901779
78fd849c9429091347d7e5c9,814231700
c3daf2abea55af99c9579319,734799076
52864916eb1984abca41ec66,996111341
c62494a9d7aede44f2f84023,1221843403
a2b576643f7a032371587e5e,888171349
e53bc68f0e97ccead24f3e56,398930558
fd82c710aad91bc90af490fe,618308000
d436abc2ee37ba3dd561e940,882551529
216a598114a403676011cb51,856537190
ea230d5eccd2b687888173bb,823041866
18bd0dd7580f2a7cb19a90b9,410853243
b143c8ca6d334f6a73c3f2a0,454111771
ab388cb4fa511968783bafee,397836397
6a4f08cd04d558a56af732d9,502599192
7216c895aa047c4f405c4941,510332796
a493488dcd906dc74cf8a604,832895957
7844b0b2bc65dced90a355c6,629651752
c1976383069b6b82ab29d092,535136586
e5cfd99e2308b7b73581dbdc,487872682
c18c2ea88f4ac53970b53d2c,523616755
842c9f0e4edf1e5a672ce15e,765266363
7dd1e46dcbddc6bf5ef694de,568754969
6cc4f32b39180bd1ec7e117b,753614970
79e643789a85dc4ffad49a25,773388522
b3402a9173d289d6db78e09d,1025320342
a446507813234e358db8b573,533442470
c8ef57ddfb35061d1876f94e,558777338
360be0df2c003005e3db080e,984757191
9ab245a4c91877cb7a8661ce,1003477663
a57a34c7486e7a40e8deb316,989146395
ceba7d0f56f6cb03538962fb,680630646
d5475993f9db58c3e4baf7a3,836508579
d37a1dda09e30da13ff5bfc3,759327074
68a8b8d077a8232723bf37e9,782941248
e1eea7716ca6490b7640717a,716997912
4ae6d75b10848d259ecba576,801376264
17afbce5c0b56732abbea936,948570653
84a2673eccd3cf3bd7fd3eb0,993038217
f2f4e6cbafe527b155707f01,1096742054
de2e3a592cda5b76c9573c5c,809430870
fac651cf404a58f24dc7d286,1320951748
e6f312a0877af26b69855a3d,1226270465
333a643c623a9bc75f3a40f2,1334323554
64593641e470908ef23b46cb,1076168701
ce9f2f0071be658ae75ca6f9,1047319359
9ab385e399a4673732b6a799,1061520755
3429c774b736cefc051e2c55,562417614
a51ad0372758b2bbfe73f8fd,733331809
8c801a266256e3fbabe7e3d2,704984518
ca2f81b8fb6fda20aefb0ccb,880191906
3c1b1f86087f9b99380e387c,826077427
b0cad5d612954b8cab18101c,826220143
7eb991f4c69215377e4dac8f,813191393
0d130b8bea4321300396fa34,1153601818
8dfa059401e1dca80ae65ae1,821705160
3e3f264cd0ac7a65ed2349a2,997773106
112dce80bf512f3f24391d23,523542986
